,song_name,song_lyrics
0,Hotel California,"Hotel California Lyrics[Verse 1]
On a dark desert highway
Cool wind in my hair
Warm smell of colitas
Rising up through the air
Up ahead in the distance
I saw a shimmering light
My head grew heavy and my sight grew dim
I had to stop for the night

[Verse 2]
There she stood in the doorway
I heard the mission bell
And I was thinkin' to myself
""This could be Heaven or this could be Hell""
Then she lit up a candle
And she showed me the way
There were voices down the corridor
I thought I heard them say
[Chorus]
""Welcome to the Hotel California
Such a lovely place (Such a lovely place)
Such a lovely face
Plenty of room at the Hotel California
Any time of year (Any time of year)
You can find it here""

[Verse 3]
Her mind is Tiffany-twisted
She got the Mercedes bends, uh
She got a lot of pretty, pretty boys
That she calls friends
How they dance in the courtyard
Sweet summer sweat
Some dance to remember
Some dance to forget

[Verse 4]
So I called up the Captain
""Please bring me my wine""
He said, ""We haven't had that spirit here
Since 1969""
And still those voices are callin'
From far away
Wake you up in the middle of the night
Just to hear them say
[Chorus]
""Welcome to the Hotel California
Such a lovely place (Such a lovely place)
Such a lovely face
They livin' it up at the Hotel California
What a nice surprise (What a nice surprise)
Bring your alibis""

[Verse 4]
Mirrors on the ceiling
The pink champagne on ice, and she said
""We are all just prisoners here
Of our own device""
And in the master's chambers
They gathered for the feast
They stab it with their steely knives
But they just can't kill the beast

[Verse 5]
Last thing I remember, I was
Running for the door
I had to find the passage back
To the place I was before
""Relax,"" said the night man
""We are programmed to receive
You can check out any time you like
But you can never leave""
[Guitar Solo]245Embed"
1,Take It Easy,"Take It Easy Lyrics[Verse 1]
Well, I'm running down the road tryin' to loosen my load
I've got seven women on my mind
Four that wanna own me, two that wanna stone me
One says she's a friend of mine

[Chorus 1]
Take It easy, take it easy
Don't let the sound of your own wheels drive you crazy
Lighten up while you still can
Don't even try to understand
Just find a place to make your stand and take it easy

[Verse 2]
Well, I'm a standing on a corner in Winslow, Arizona
And such a fine sight to see
It's a girl, my Lord, in a flatbed Ford
Slowin' down to take a look at me
[Chorus 2]
Come on, baby, don't say maybe
I gotta know if your sweet love is gonna save me
We may lose, and we may win
Though we will never be here again
So open up, I'm climbin' in
So take it easy

[Guitar Solo]

[Verse 3]
Well, I'm running down the road trying to loosen my load
Got a world of trouble on my mind
Lookin' for a lover who won't blow my cover
She's so hard to find

[Chorus 3]
Take it easy, take it easy
Don't let the sound of your own wheels make you crazy
Come on baby, don't say maybe
I gotta know if your sweet love is gonna save me

[Outro]
(Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh, oh-oh-oh, oh-oh-oh
Oh-oh-oh, oh-oh-oh)
Oh, we got it easy
We oughta take it easy15Embed"
2,Desperado,"Desperado Lyrics[Verse 1]
Desperado
Why don't you come to your senses?
You've been out ridin' fences
For so long now
Oh, you're a hard one
But I know that you got your reasons
These things that are pleasin' you
Can hurt you somehow

[Verse 2]
Don't you draw the queen of diamonds, boy
She'll beat you if she's able
You know the queen of hearts is always your best bet
Now it seems to me some fine things have been laid upon your table
But you only want the ones that you can't get
[Verse 3]
Desperado
Oh, you ain't getting no younger
Your pain and your hunger
They're driving you home
And freedom, oh, freedom
Well that's just some people talking
Your prison is walking through this world all alone

[Verse 4]
Don't your feet get cold in the wintertime?
The sky won't snow and the sun won't shine
It's hard to tell the nighttime from the day
You're losing all your highs and lows
Ain't it funny how the feeling goes
Away…

[Verse 5]
Desperado
Why don't you come to your senses?
Come down from your fences
Open the gate
It may be rainin'
But there's a rainbow above you
You better let somebody love you
(Let somebody love you)
You better let somebody love you
Before it's too late25Embed"
3,One of These Nights,"One of These Nights Lyrics[Verse 1]
One of these nights
One of these crazy old nights
We're gonna find out, pretty mama
What turns on your lights
The full moon is calling, the fever is high
And the wicked wind whispers and moans
You got your demons and you got desires
Well, I got a few of my own

[Chorus]
Ooh, someone to be kind to
In between the dark and the light
Ooh, coming right behind you
Swear I'm gonna find you one of these nights
[Verse 2]
One of these dreams
One of these lost and lonely dreams, now
We're gonna find one
Oh, one that really screams
I've been searching for the daughter of the devil himself
I've been searching for an angel in white
I've been waiting for a woman who's a little of both
And I can feel her, but she's nowhere in sight

[Chorus]
Ooh, loneliness will blind you
In between the wrong and the right (oh, oh, oh)
Ooh, coming right behind you
Swear I'm gonna find you one of these nights

[Guitar Solo]

[Outro]
One of these nights
Mmm, in between the dark and the light
Comin' right behind you
Swear I'm gonna find you
Get you, baby, one of these nights
One of these nights
Hoo, hoo-hoo
Hoo, hoo-hoo
One of these nights
I can feel you
I can feel
One of these nights
Comin' right behind you
Swear I'm gonna find you, now
One of these nights
And it gets so dark
So dark and cold and lonely
One of these nights
One of these crazy, crazy, crazy nights
One of these nights
Swear I'm gonna find you
Comin' right behind you, now
One of these nights
Hoo, hoohoooo
One of these nights
And I wanna say, ahhh
One of these nights
One of these, one of these
One of these nights
Comin' right behind you
Swear I'm gonna find you
One of these nights
One of these nights
One of these crazy old nights
One of these nights10Embed"
4,Life in the Fast Lane,"Life in the Fast Lane Lyrics[Verse 1]
He was a hard-headed man, he was brutally handsome
And she was terminally pretty
She held him up and he held her for ransom
In the heart of the cold, cold city
He had a nasty reputation as a cruel dude
They said he was ruthless, they said he was crude
They had one thing in common, they were good in bed
She'd say, ""Faster, faster, the lights are turnin' red""

[Chorus]
Life in the fast lane, surely make you lose your mind
Life in the fast lane, huh

[Post-Chorus]
Are you with me so far?
[Verse 2]
Eager for action, hot for the game
The coming attraction, the drop of a name
They knew all the right people, they took all the right pills
They threw outrageous parties, they paid heavenly bills
There were lines on the mirror, lines on her face
She pretended not to notice, she was caught up in the race
Out every evening, until it was light
He was too tired to make it, she was too tired to fight about it

[Chorus]
Life in the fast lane, surely make you lose your mind
Life in the fast lane, huh
Life in the fast lane, everything all the time
Life in the fast lane, uh-huh

[Instrumental Bridge]

[Verse 3]
Blowin' and burnin', blinded by thirst
They didn't see the stop sign, took a turn for the worst
She said, ""Listen, baby, you can hear the engine ring""
""We've been up and down this highway, haven't seen a goddamn thing""
He said, ""Call the doctor, I think I'm gonna crash""
""The doctor say he's comin', but you gotta pay in cash""
They went rushin' down that freeway, messed around and got lost
They didn't care, they were just dyin' to get off and it was
[Chorus]
Life in the fast lane, surely make you lose your mind
Life in the fast lane, uh-huh
Life in the fast lane, everything all the time
Life in the fast lane, uh-huh

[Outro]
Life in the fast lane
Life in the fast lane5Embed"
5,Lyin’ Eyes,"Lyin’ Eyes Lyrics[Verse 1]
City girls just seem to find out early
How to open doors with just a smile
A rich old man and she won't have to worry
She'll dress up all in lace and go in style

[Verse 2]
Late at night, a big, old house gets lonely
I guess every form of refuge has it's price
And it breaks her heart to think her love is only
Given to a man with hands as cold as ice

[Verse 3]
So she tells him she must go out for the evening
To comfort an old friend who's feelin' down
But he knows where she's goin' as she's leavin'
She is headed for the cheatin' side of town
[Chorus]
You can't hide your lyin' eyes
And your smile is a thin disguise
I thought by now you'd realize
There ain't no way to hide your lyin' eyes

[Verse 4]
On the other side of town, a boy is waiting
With fiery eyes and dreams no one could steal
She drives on through the night, anticipating
Because he makes her feel the way she used to feel

[Verse 5]
She rushes to his arms, they fall together
She whispers that it's only for a while
She swears that, soon, she'll be comin' back forever
She pulls away and leaves him with a smile

[Chorus]
You can't hide your lyin' eyes
And your smile is a thin disguise
I thought by now you'd realize
There ain't no way to hide your lyin' eyes

[Verse 6]
She gets up and pours herself a strong one
And stares out at the stars up in the sky
Another night, it's gonna be a long one
She draws the shade and hangs her head to cry
[Verse 7]
She wonders how it ever got this crazy
She thinks about a boy she knew in school
Did she get tired or did she just get lazy?
She's so far gone, she feels just like a fool

[Verse 8]
My, oh my, you sure know how to arrange things
You set it up so well, so carefully
Ain't it funny how your new life didn't change things?
You're still the same old girl you used to be

[Chorus]
You can't hide your lyin' eyes
And your smile is a thin disguise
I thought by now you'd realize
There ain't no way to hide your lyin' eyes

[Outro]
There ain't no way to hide your lyin' eyes
Honey, you can't hide your lyin' eyes12Embed"
6,Take It to the Limit,"Take It to the Limit Lyrics[Verse 1]
All alone at the end of the evening
When the bright lights have faded to blue
I was thinking 'bout a woman who might have
Loved me and I never knew
You know I've always been a dreamer
(Spent my life running 'round)
And it's so hard to change
(Can't seem to settle down)
But the dreams I've seen lately
Keep on turning out and burning out
And turning out the same

[Chorus]
So put me on a highway
And show me a sign
And take it to the limit one more time
[Verse 2]
You can spend all your time making money
You can spend all your love making time
If it all fell to pieces tomorrow
Would you still be mine?
And when you're looking for your freedom
(Nobody seems to care)
And you can't find the door
(Can't find it anywhere)
When there's nothing to believe in
Still you're coming back, you're running back
You're coming back for more

[Chorus]
So put me on a highway
And show me a sign
And take it to the limit one more time

[Outro]
Take it to the limit
Take it to the limit
Take it to the limit one more time
Take it to the limit (Wee-ee)
Take it to the limit (C'mon)
Take it to the limit one more time
Take it to the limit (Wee-ee)
Take it to the limit (You gotta)
Take it to the limit one more time
Take it to the limit
Take it to the limit
Take it to the limit one more time
Take it to the limit (Wee-ee)
Take it to the limit (Come on and)
Take it to the limit one more time
Take it to the limit (Ah-ah)
Take it to the limit (Ah-ah)
Take it to the limit one more time
Take it to the limit
Take it to the limit9Embed"
7,The Last Resort,"The Last Resort Lyrics[Verse 1]
She came from Providence
One in Rhode Island
Where the old world shadows hang
Heavy in the air
She packed her hopes and dreams
Like a refugee
Just as her father came
Across the sea

[Verse 2]
She heard about a place
People were smiling
They spoke about the red man's ways
And how they loved the land
And they came from everywhere
To the Great Divide
Seeking a place to stand
Or a place to hide
[Verse 3]
Down in the crowded bars
Out for a good time
Can't wait to tell you all
What it's like up there
And they called it paradise
I don't know why
Somebody laid the mountains low
While the town got high

[Verse 4]
And then the chilly winds blew down
Across the desert
Through the canyons of the coast
To the Malibu
Where the pretty people play
Hungry for power
To light their neon way
And give them things to do

[Verse 5]
Some rich men came and raped the land
Nobody caught 'em
Put up a bunch of ugly boxes
And, Jesus, people bought 'em
And they called it paradise
The place to be
They watched the hazy sun
Sinking in the sea
[Verse 6]
You can leave it all behind
And sail to Lahaina
Just like the missionaries did
So many years ago
They even brought a neon sign
""Jesus is coming""
They brought the white man's burden down
Brought the white man's reign

[Verse 7]
Who will provide the grand design?
What is yours and what is mine?
'Cause there is no more new frontier
But we have got to make it here
We satisfy our endless needs
And justify our bloody deeds
In the name of destiny
And in the name of God

[Verse 8]
And you can see them there
On Sunday morning
And stand up and sing about
What it's like up there
They call it paradise
I don't know why
You call someplace paradise
Kiss it goodbye3Embed"
8,New Kid in Town,"New Kid in Town Lyrics[Verse 1]
There's talk on the street, it sounds so familiar
Great expectations, everybody's watching you
People you meet, they all seem to know you
Even your old friends treat you like you're something new

[Chorus]
Johnny-come-lately, the new kid in town
Everybody loves you, so don't let them down

[Verse 2]
You look in her eyes, the music begins to play
Hopeless romantics, here we go again
But after a while, you're lookin' the other way
It's those restless hearts that never mend (Oh)
[Chorus]
Johnny-come-lately, the new kid in town
Will she still love you when you're not around?

[Bridge]
There's so many things you should have told her
But night after night, you're willing to hold her, just hold her
Tears on your shoulder

[Verse 3]
There's talk on the street, it's there to remind you
Doesn't really matter which side you're on
You're walking away and they're talking behind you
They will never forget you 'til somebody new comes along

[Chorus]
Where you've been lately? There's a new kid in town
Everybody loves him, don't they?
He's holding her and you're still around

[Outro]
Oh, my, my
There's a new kid in town
Just another new kid in town
(Ooh, hoo) Everybody's talking 'bout the
(Ooh, hoo) New kid in town
(Ooh, hoo) Everybody's walking like the
(Ooh, hoo) New kid in town
There's a new kid in town
I don't want to hear it
There's a new kid in town
I don't want to hear it, ah-ooh
There's a new kid in town
There's a new kid in town
There's a new kid in town
Everybody's talking
There's a new kid in town
People started walking
There's a new kid in town
There's a new kid in town
There's a new kid in town
There's a new kid in town2Embed"
9,Wasted Time,"Wasted Time Lyrics[Verse 1]
Well, baby, there you stand
With your little head down in your hand
Oh, my God, you can't believe
It's happening again
Your baby's gone, and you're all alone
And it looks like the end

[Verse 2]
And you're back out on the street
And you're trying to remember, oh
How do you start it over?
You don't know if you can
You don't care much for a stranger's touch
But you can't hold your man
[Chorus 1]
You never thought you'd be alone
This far down the line
And I know what's been on your mind
You're afraid it's all been wasted time

[Verse 3]
The autumn leaves have got you thinking
About the first time that you fell, fell
You didn't love the boy too much
No, no, you just
Loved the boy too well
Farewell

[Verse 4]
So you live from day to day
And you dream about tomorrow, oh
And the hours go by like minutes
And the shadows come to stay
So you take a little something
To let them go away

[Chorus 2]
And I could've done so many things, baby
If I could only stop my mind
From wonderin' what I left behind
And from worryin' 'bout this wasted time
[Verse 5]
(Ooh-ooh-ooh-ooh-ooh)
Another love has come and gone
(Ooh-ooh-ooh-ooh-ooh)
And the years keep rushing on
I remember what you told me
Before you went out on your own
""Sometimes to keep it together
We've got to leave it alone""

[Chorus 3]
So you can get on with your search, baby
And I can get on with mine
And maybe someday we will find
That it wasn't really wasted time8Embed"
