,song_name,song_lyrics
0,Your Song,"Your Song Lyrics[Verse 1]
It's a little bit funny, this feeling inside
I'm not one of those who can easily hide
I don't have much money, but, boy, if I did
I'd buy a big house where we both could live
If I was a sculptor, heh, but then again, no
Or a man who makes potions in a traveling show
I know it's not much, but it's the best I can do
My gift is my song, and this one's for you

[Chorus]
And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind, I hope you don't mind
That I put down in the words
How wonderful life is while you're in the world
[Verse 2]
I sat on the roof and kicked off the moss
Well, a few of the verses, well, they've got me quite cross
But the sun's been quite kind while I wrote this song
It's for people like you that keep it turned on
So excuse me forgetting, but these things I do
You see, I've forgotten if they're green or they're blue
Anyway, the thing is, what I really mean
Yours are the sweetest eyes I've ever seen

[Chorus]
And you can tell everybody this is your song
It may be quite simple, but now that it's done
I hope you don't mind, I hope you don't mind
That I put down in the words
How wonderful life is while you're in the world

[Outro]
I hope you don't mind, I hope you don't mind
That I put down in the words
How wonderful life is while you're in the world54Embed"
1,"Rocket Man (I Think It’s Going to Be a Long, Long Time)","Rocket Man (I Think It’s Going to Be a Long, Long Time) Lyrics[Verse 1]
She packed my bags last night, pre-flight
Zero hour: 9:00 a.m
And I'm gonna be high as a kite by then
I miss the Earth so much, I miss my wife
It's lonely out in space
On such a timeless flight

[Chorus]
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man!
Burning out his fuse up here alone
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man!
Burning out his fuse up here alone
[Verse 2]
Mars ain't the kind of place to raise your kids
In fact, it's cold as hell
And there's no one there to raise them if you did
And all the science, I don't understand
It's just my job five days a week
A rocket man
A rocket man

[Chorus]
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man!
Burning out his fuse up here alone
And I think it's gonna be a long, long time
'Til touchdown brings me 'round again to find
I'm not the man they think I am at home
Oh, no, no, no
I'm a rocket man
Rocket man!
Burning out his fuse up here alone

[Outro]
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time
And I think it's gonna be a long, long time58Embed"
2,Bennie and the Jets,"Bennie and the Jets Lyrics[Verse 1]
Hey kids, shake it loose together
The spotlight's hitting something
That's been known to change the weather
We'll kill the fatted calf tonight so stick around
You're gonna hear electric music, solid walls of sound

[Pre-Chorus]
Say, Candy and Ronnie, have you seen them yet?
Ooh, but they're so spaced out
B-B-B-Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen

[Chorus]
She's got electric boots, a mohair suit
You know I read it in a magazine, oh
B-B-B-Bennie and the Jets
[Verse 2]
Hey kids, plug into the faithless
Maybe they're blinded, but Bennie makes them ageless
We shall survive, let us take ourselves along
Where we fight our parents out in the streets
To find who's right and who's wrong

[Pre-Chorus]
Say, Candy and Ronnie, have you seen them yet?
Ooh, but they're so spaced out
B-B-B-Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen

[Chorus]
She's got electric boots
A mohair suit
You know I read it in a magazine, oh
B-B-B-Bennie and the Jets

[Pre-Chorus]
Oh, Candy and Ronnie, have you seen them yet?
Oh, but they're so spaced out
B-B-B-B-B-Bennie and the Jets
Oh, but they're weird and they're wonderful
Oh, Bennie, she's really keen
[Chorus]
She's got electric boots, a mohair suit
You know I read it in a magazine
B-B-B-Bennie and the Jets

[Outro]
Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie and the Jets
Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets, the Jets, the Jets
Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie, Bennie and the Jets30Embed"
3,Goodbye Yellow Brick Road,"Goodbye Yellow Brick Road Lyrics[Verse 1]
When are you gonna come down?
When are you going to land?
I should have stayed on the farm
I should have listened to my old man
You know you can't hold me forever
I didn't sign up with you
I'm not a present for your friends to open
This boy's too young to be singing the blues

[Refrain]
Ah, ah-ah, ah-ah
Ah-ah-ah, ah

[Chorus]
So goodbye yellow brick road
Where the dogs of society howl
You can't plant me in your penthouse
I'm going back to my plough
Back to the howling old owl in the woods
Hunting the horny-back toad
Oh, I've finally decided my future lies
Beyond the yellow brick road
[Refrain]
Ah, ah-ah, ah-ah
Ah-ah-ah, ah

[Verse 2]
What do you think you'll do, then?
I bet they'll shoot down the plane
It'll take you a couple of vodka and tonics
To set you on your feet again
Maybe you'll get a replacement
There's plenty like me to be found
Mongrels who ain't got a penny
Sniffing for tidbits like you on the ground

[Refrain]
Ah, ah-ah, ah-ah
Ah-ah-ah, ah

[Chorus]
So goodbye yellow brick road
Where the dogs of society howl
You can't plant me in your penthouse
I'm going back to my plough
Back to the howling old owl in the woods
Hunting the horny-back toad
Oh, I've finally decided my future lies
Beyond the yellow brick road
[Refrain]
Ah, ah-ah, ah-ah
Ah-ah-ah, ah22Embed"
4,Tiny Dancer,"Tiny Dancer Lyrics[Verse 1]
Blue jean baby, L.A. lady
Seamstress for the band
Pretty-eyed, pirate smile
You'll marry a music man
Ballerina, you must've seen her
Dancing in the sand
And now she's in me, always with me
Tiny dancer in my hand

[Verse 2]
Jesus freaks out in the street
Handing tickets out for God
Turning back, she just laughs
The boulevard is not that bad
Piano man, he makes his stand
In the auditorium
Looking on, she sings the songs
The words she knows, the tune she hums
[Pre-Chorus]
But, oh, how it feels so real
Lying here with no one near
Only you, and you can hear me
When I say softly, slowly

[Chorus]
Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today
Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today

[Verse 1]
Blue jean baby, L.A. lady
Seamstress for the band
Pretty-eyed, pirate smile
You'll marry a music man
Ballerina, you must've seen her
Dancing in the sand
And now she's in me, always with me
Tiny dancer in my hand
[Pre-Chorus]
Oh, how it feels so real
Lying here with no one near
Only you, and you can hear me
When I say softly, slowly

[Chorus]
Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today
Hold me closer, tiny dancer
Count the headlights on the highway
Lay me down in sheets of linen
You had a busy day today
Ooh28Embed"
5,I’m Still Standing,"I’m Still Standing Lyrics[Verse 1]
You could never know what it's like
Your blood, like winter, freezes just like ice
And there's a cold, lonely light that shines from you
You'll wind up like the wreck you hide behind that mask you use
And did you think this fool could never win?
Well look at me, I'm a-coming back again
I got a taste of love in a simple way
And if you need to know while I'm still standing
You just fade away

[Chorus]
Don't you know I'm still standing better than I ever did?
Looking like a true survivor, feeling like a little kid
And I'm still standing after all this time
Picking up the pieces of my life without you on my mind
[Post-Chorus]
I'm still standing (yeah, yeah, yeah)
I'm still standing (yeah, yeah, yeah)

[Verse 2]
Once, I never coulda hoped to win
You starting down the road, leaving me again
The threats you made were meant to cut me down
And if our love was just a circus, you'd be a clown by now

[Chorus]
You know I'm still standing better than I ever did
Looking like a true survivor, feeling like a little kid
And I'm still standing after all this time
Picking up the pieces of my life without you on my mind

[Post-Chorus]
I'm still standing (yeah, yeah, yeah)
I'm still standing (yeah, yeah, yeah)

[Instrumental Break]

[Chorus]
Don't you know that I'm still standing better than I ever did?
Looking like a true survivor, feeling like a little kid
And I'm still standing after all this time
Picking up the pieces of my life without you on my mind
[Post-Chorus]
I'm still standing (yeah, yeah, yeah)
I'm still standing (yeah, yeah, yeah)

[Outro]
I'm still standing (yeah, yeah, yeah)
I'm still standing (yeah, yeah, yeah)
I'm still standing (yeah, yeah, yeah)
I'm still standing (yeah, yeah, yeah)15Embed"
6,Don’t Let the Sun Go Down on Me,"Don’t Let the Sun Go Down on Me Lyrics[Verse 1]
I can't light no more of your darkness
All my pictures seem to fade to black and white
I'm growin' tired, and time stands still before me
Frozen here on the ladder of my life

[Verse 2]
Too late to save myself from falling
I took a chance and changed your way of life
But you misread my meanin' when I met you
Closed the door and left me blinded by the light

[Chorus]
Don't let the sun go down on me
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life to wander free
But losin' everything is like the sun goin' down on me
[Verse 3]
I can't find, oh, the right romantic line
But see me once and see the way I feel
Don't discard me just because you think I mean you harm
But these cuts I have, oh, they need love to help them heal

[Chorus]
Don't let the sun go down on me
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life to wander free
But losin' everything is like the sun goin' down on me

[Chorus]
Don't let the sun go down on me
Although I search myself, it's always someone else I see
I'd just allow a fragment of your life to wander free, yeah
But losin' everything is like the sun goin' down on me3Embed"
7,Can You Feel the Love Tonight (End Title),"Can You Feel the Love Tonight (End Title) Lyrics[Verse 1]
There's a calm surrender to the rush of day
When the heat of a rolling wind can be turned away
An enchanted moment, and it sees me through
It's enough for this restless warrior just to be with you

[Chorus]
And can you feel the love tonight?
It is where we are
It's enough for this wide-eyed wanderer
That we got this far
And can you feel the love tonight?
How it's laid to rest
It's enough to make kings and vagabonds
Believe the very best
[Verse 2]
There's a time for everyone if they only learn
That the twistin' kaleidoscope moves us all in turn
There's a rhyme and reason to the wild outdoors
When the heart of this star-crossed voyager beats in time with yours

[Chorus]
And can you feel the love tonight?
It is where we are
It's enough for this wide-eyed wanderer
That we got this far
And can you feel the love tonight?
How it's laid to rest
It's enough to make kings and vagabonds
Believe the very best

[Outro]
It's enough to make kings and vagabonds
Believe the very best5Embed"
8,Candle in the Wind,"Candle in the Wind Lyrics[Verse 1]
Goodbye, Norma Jeane
Though I never knew you at all
You had the grace to hold yourself
While those around you crawled

They crawled out of the woodwork
And they whispered into your brain
They set you on the treadmill
And they made you change your name

[Chorus]
And it seems to me you lived your life
Like a candle in the wind
Never knowing who to cling to
When the rain set in
And I would've liked to know you
But I was just a kid
Your candle burned out long before
Your legend ever did

[Verse 2]
Loneliness was tough
The toughest role you ever played
Hollywood created a superstar
And pain was the price you paid

And even when you died
Oh, the press still hounded you
All the papers had to say
Was that Marilyn was found in the nude

[Chorus]
And it seems to me you lived your life
Like a candle in the wind
Never knowing who to cling to
When the rain set in

And I would've liked to know you
But I was just a kid
Your candle burned out long before
Your legend ever did
[Verse 3]
Goodbye, Norma Jeane
Though I never knew you at all
You had the grace to hold yourself
While those around you crawled

Goodbye, Norma Jeane
From the young man in the 22nd row
Who sees you as something more than sexual
More than just our Marilyn Monroe

[Chorus]
And it seems to me you lived your life
Like a candle in the wind
Never knowing who to cling to
When the rain set in

And I would've liked to know you
But I was just a kid
Your candle burned out long before
Your legend ever did

Your candle burned out long before
Your legend ever did7Embed"
9,Crocodile Rock,"Crocodile Rock Lyrics[Verse 1]
I remember when rock was young
Me and Susie had so much fun
Holding hands and skimming stones
Had an old gold Chevy and a place of my own
But the biggest kick I ever got
Was doing a thing called the Crocodile Rock
While the other kids were rocking 'round the clock
We were hopping and bopping to the Crocodile Rock

[Chorus]
Well, Crocodile Rocking is something shocking
When your feet just can't keep still
I never knew me a better time, and I guess I never will
Oh, lawdy mama, those Friday nights
When Susie wore her dresses tight
And the Crocodile Rocking was out of sight
[Post-Chorus]
Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa

[Verse 2]
But the years went by and the rock just died
Susie went and left us for some foreign guy
Long nights crying by the record machine
Dreaming of my Chevy and my old blue jeans
But they'll never kill the thrills we've got
Burning up to the Crocodile Rock
Learning fast as the weeks went past
We really thought the Crocodile Rock would last

[Chorus]
Well, Crocodile Rocking is something shocking
When your feet just can't keep still
I never knew me a better time, and I guess I never will
Oh, lawdy mama, those Friday nights
When Susie wore her dresses tight
And the Crocodile Rocking was out of sight

[Post-Chorus]
Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa
[Verse 1]
I remember when rock was young
Me and Susie had so much fun
Holding hands and skimming stones
Had an old gold Chevy and a place of my own
But the biggest kick I ever got
Was doing a thing called the Crocodile Rock
While the other kids were rocking 'round the clock
We were hopping and bopping to the Crocodile Rock

[Chorus]
Well, Crocodile Rocking is something shocking
When your feet just can't keep still
I never knew me a better time, and I guess I never will
Oh, lawdy mama, those Friday nights
When Susie wore her dresses tight
And the Crocodile Rocking was out of sight

[Post-Chorus]
Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa

[Post-Chorus]
Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa
[Post-Chorus]
Laa, la-la-la-la-laa
La-la-la-la-laa
La-la-la-la-laa15Embed"
10,Saturday Night’s Alright (For Fighting),"Saturday Night’s Alright (For Fighting) Lyrics[Verse 1]
It's getting late, have you seen my mates?
Ma, tell me when the boys get here
It's seven o'clock and I wanna rock
Wanna get a belly full of beer
My old man's drunker than a barrel full of monkeys
And my old lady, she don't care
My sister looks cute in her braces and boots
A handful of grease in her hair

[Chorus]
Oh, don't give us none of your aggravation
We had it with your discipline
Oh, Saturday night's alright for fighting
Get a little action in
Get about as oiled as a diesel train
Gonna set this dance alight
'Cause Saturday night's the night I like
Saturday night's alright, alright, alright, ooh
[Verse 2]
Well, they're packed pretty tight in here tonight
I'm looking for a dolly who'll see me right
I may use a little muscle to get what I need
I may sink a little drink and shout out, ""She's with me!""
A couple of the sounds that I really like
Are the sounds of a switchblade and a motorbike
I'm a juvenile product of the working class
Whose best friend floats in the bottom of a glass

[Chorus]
Oh, don't give us none of your aggravation
We had it with your discipline
Saturday night's alright for fighting
Get a little action in
Get about as oiled as a diesel train
Gonna set this dance alight
'Cause Saturday night's the night I like
Saturday night's alright, alright, alright, ooh

[Guitar break]

[Chorus]
Oh, don't give us none of your aggravation
We had it with your discipline
'Cause Saturday night's alright for fighting
Get a little action in
Get about as oiled as a diesel train
Gonna set this dance alight
'Cause Saturday night's the night I like
Saturday night's alright, alright, alright, ooh
[Outro]
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday night's alright
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday night's alright
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday!
Saturday! Saturday! Saturday night's alright, whoo9Embed"
