,song_name,song_lyrics
0,Like a Prayer,"Like a Prayer Lyrics[Intro]
Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

[Chorus]
When you call my name
It's like a little prayer
I'm down on my knees
I want to take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there
[Verse 1]
I hear your voice
It's like an angel sighing
I have no choice
I hear your voice
Feels like flying
I close my eyes
Oh God, I think I'm falling
Out of the sky
I close my eyes
Heaven, help me

[Chorus]
When you call my name
It's like a little prayer
I'm down on my knees
I want to take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

[Verse 2]
Like a child
You whisper softly to me
You're in control
Just like a child
Now I'm dancing
It's like a dream
No end and no beginning
You're here with me
It's like a dream
Let the choir sing
[Chorus]
When you call my name
It's like a little prayer
I'm down on my knees
I wanna take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there
When you call my name
It's like a little prayer
I'm down on my knees
I wanna take you there
In the midnight hour
I can feel your power
Just like a prayer
You know I'll take you there

[Reprise]
Life is a mystery
Everyone must stand alone
I hear you call my name
And it feels like home

[Chorus]
Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there
[Bridge]
Just like a prayer, I'll take you there
It's like a dream to me (Mmmm...)
Just like a prayer, I'll take you there (I'll take you there)
It's like a dream to me (Oh, oh-oh-oh yeah)
Just like a prayer, I'll take you there (I'll take you there)
It's like a dream to me (Oh yeah, yeah, yeah yeah yeah yeah)
Just like a prayer, I'll take you there (Oh, yeah)
It's like a dream to me (Oh, oh)

[Chorus]
Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there

Just like a prayer
Your voice can take me there
Just like a muse to me
You are a mystery
Just like a dream
You are not what you seem
Just like a prayer, no choice
Your voice can take me there
Your voice can take me there
Like a prayer

[Outro]
It's like a prayer, your voice can take me there
It's like a prayer
It's like a prayer, your voice can take me there
It's like a prayer
It's like a prayer, your voice can take me there
It's like a prayer
It's like a prayer, your voice can take me there
It's like a prayer33Embed"
1,Vogue,"Vogue Lyrics[Produced by Shep Pettibone and Madonna]

[Intro]
Strike a pose
Strike a pose
Vogue (Vogue, vogue)
Vogue (Vogue, vogue)

[Verse 1]
Look around, everywhere you turn is heartache
It's everywhere that you go (Look around)
You try everything you can to escape
The pain of life that you know (Life that you know)
When all else fails and you long to be
Something better than you are today
I know a place where you can get away
It's called a dance floor
And here's what it's for, so
[Chorus]
Come on, vogue (Vogue)
Let your body move to the music (Move to the music)
Hey, hey, hey
Come on, vogue (Vogue)
Let your body go with the flow (Go with the flow)
You know you can do it

[Verse 2]
All you need is your own imagination
So use it that's what it's for (That's what it's for)
Go inside, for your finest inspiration
Your dreams will open the door (Open up the door)
It makes no difference if you're black or white
If you're a boy or a girl
If the music's pumping it will give you new life
You're a superstar
Yes, that's what you are, you know it

[Chorus]
Come on vogue (Vogue, vogue)
Let your body groove to the music (Groove to the music)
Hey, hey, hey
Come on, vogue (Vogue, vogue)
Let your body go with the flow (Go with the flow)
You know you can do it
[Bridge]
Beauty's where you find it
Not just where you bump and grind it
Soul is in the musical
That's where I feel so beautiful
Magical, life's a ball, so
Get up on the dance floor

[Chorus]
Vogue (Vogue)
Let your body move to the music (Move to the music)
Hey, hey, hey
Come on, vogue (Vogue, vogue)
Let your body go with the flow (Go with the flow)
You know you can do it

[Refrain]
Vogue (Vogue)
Beauty's where you find it (Move to the music)
Vogue (Vogue)
Beauty's where you find it (Go with the flow)

[Verse 3]
Greta Garbo, and Monroe
Dietrich and DiMaggio
Marlon Brando, Jimmy Dean
On the cover of a magazine
Grace Kelly, Harlow, Jean
Picture of a beauty queen
Gene Kelly, Fred Astaire
Ginger Rogers dance on air
They had style, they had grace
Rita Hayworth gave good face
Lauren, Katharine, Lana too
Bette Davis, we love you
Ladies with an attitude
Fellas that were in the mood
Don't just stand there, let's get to it
Strike a pose, there's nothing to it
Vogue
Vogue
[Outro]
Oooh, you've got to
Let your body move to the music
Oooh, you've got to just
Let your body go with the flow
Oooh, you've got to
Vogue (Vogue, vogue, vogue)16Embed"
2,La Isla Bonita,"La Isla Bonita Lyrics[Intro]
¿Cómo puede ser verdad?

[Verse 1]
Last night I dreamt of San Pedro
Just like I'd never gone, I knew the song
A young girl with eyes like the desert
It all seems like yesterday, not far away

[Chorus]
Tropical the island breeze, all of nature wild and free
(Ah-ah, ah-ah, ah-ah)
This is where I long to be, La Isla Bonita
And when the samba played, the sun would set so high
(Ah-ah, ah-ah, ah-ah)
Ring through my ears and sting my eyes, your Spanish lullaby
[Verse 2]
I fell in love with San Pedro
Warm wind carried on the sea, he called to me
Te dijo, ""Te amo""
I prayed that the days would last, they went so fast

[Chorus]
Tropical the island breeze, all of nature wild and free
(Ah-ah, ah-ah, ah-ah)
This is where I long to be, La Isla Bonita
And when the samba played, the sun would set so high
(Ah-ah, ah-ah, ah-ah)
Ring through my ears and sting my eyes, your Spanish lullaby

[Bridge]
I want to be where the sun warms the sky
When it's time for siesta, you can watch them go by
Beautiful faces, no cares in this world
Where a girl loves a boy, and a boy loves a girl

[Pre-Chorus]
Last night I dreamt of San Pedro
It all seems like yesterday, not far away

[Chorus]
Tropical the island breeze, all of nature wild and free
(Ah-ah, ah-ah, ah-ah)
This is where I long to be, La Isla Bonita
And when the samba played, the sun would set so high
(Ah-ah, ah-ah, ah-ah)
Ring through my ears and sting my eyes, your Spanish lullaby
(Pa-pa-pa-pa-pa)
Tropical the island breeze, all of nature wild and free
(Ah-ah, ah-ah, ah-ah)
This is where I long to be, La Isla Bonita
And when the samba played, the sun would set so high
(Ah-ah, ah-ah, ah-ah)
Ring through my ears and sting my eyes, your Spanish lullaby
[Outro]
La-la-la-la-la-la-la
Te dijo, te amo
La-la-la-la-la-la-la
Él dijo que te ama
Pa-pa-pa-pa-pa-pa-pa-pa (Ah-ah, ah-ah, ah-ah)
La Isla Bonita
Ah-ah, ah-ah, ah-ah
Spanish lullaby11Embed"
3,Material Girl,"Material Girl Lyrics[Verse 1]
Some boys kiss me, some boys hug me
I think they're okay
If they don't give me proper credit, I just walk away
They can beg and they can plead
But they can't see the light (That's right)
'Cause the boy with the cold hard cash is always Mister Right

[Chorus]
'Cause we are living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

[Verse 2]
Some boys romance, some boys slow dance
That's all right with me
If they can't raise my interest, then I have to let them be
Some boys try, and some boys lie
But I don't let them play, no way
Only boys that save their pennies make my rainy day
[Chorus]
'Cause we are living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl

[Interlude]
Living in a material world (-Terial)
Living in a material world
Living in a material world (-Terial)
Living in a material world

[Verse 3]
Boys may come, and boys may go
And that's all right, you see
Experience has made me rich, and now they're after me

[Chorus]
'Cause everybody's living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
Living in a material world
And I am a material girl
You know that we are living in a material world
And I am a material girl
[Outro]
A material, a material, a material, a material world
Living in a material world (-Terial)
Living in a material world
Living in a material world (-Terial)
Living in a material world
Living in a material world (-Terial)
Living in a material world
Living in a material world (-Terial)
Living in a material world8Embed"
4,Like a Virgin,"Like a Virgin Lyrics[Verse 1]
I made it through the wilderness
Somehow I made it through
Didn't know how lost I was until I found you
I was beat, incomplete
I'd been had, I was sad and blue, but you made me feel
Yeah, you made me feel shiny and new

[Chorus]
Like a virgin
Touched for the very first time
Like a virgin
When your heart beats next to mine

[Verse 2]
Gonna give you all my love, boy
My fear is fading fast
Been saving it all for you, 'cause only love can last
You're so fine and you're mine
Make me strong, yeah you make me bold, oh your love thawed out
Yeah, your love thawed out what was scared and cold
[Chorus]
Like a virgin (Hey)
Touched for the very first time
Like a virgin
With your heartbeat next to mine

Whoa whoa whoa
Whoa whoa whoa, ah
Whoa whoa whoa

[Verse 3]
You're so fine and you're mine
I'll be yours 'til the end of time 'cause you made me feel
Yeah, you made me feel I've nothing to hide

[Chorus]
Like a virgin (Hey)
Touched for the very first time
Like a virgin
With your heartbeat next to mine

[Outro]
Like a virgin
Ooh-ooh, like a virgin
Feels so good inside
When you hold me, and your heart beats, and you love me
Oh-ooh oh-oh-oh, ooh-ooh, ooh
Ooh baby, yeah
Can't you hear my heart beat for the very first time?26Embed"
5,Bitch I’m Madonna,"Bitch I’m Madonna Lyrics[Intro: Madonna]
You're gonna love this
You can't touch this
'Cause I'm a bad bitch

[Verse 1: Madonna]
We hit the elevator right up to the rooftop
The bass is pumping, make me wanna screw the top off
Yeah, we'll be drinking and nobody's gonna stop us
And we'll be kissing anybody that's around us

[Pre-Chorus: Madonna]
I just wanna have fun tonight (Blow up this shit tonight)
Put me under the flashing light
Oh-oh-oh-oh
Let me blow up this house tonight (Gonna blow up)
[Chorus: Madonna]
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Na-na-na-na-na
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Bitch, I'm Madonna
Bitch, bitch I'm Madonna
Bitch, bitch I'm Madonna

[Verse 2: Madonna]
We're jumping in the pool and swimming with our clothes on
I poured a beer into my shoe and got my freak on
The neighbor's pissed and says he's gonna call the Five-O
If they show up then we are gonna give a good show

[Pre-Chorus: Madonna]
I just wanna go up tonight
Pull me under the flashing light
Oh-oh-oh-oh
Let me blow up this house tonight (Gon' blow up)

[Drop: Nicki Minaj]
Uhh
Beep-beep, bitch, move
[Chorus: Madonna & Nicki Minaj]
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Na-na-na-na-na (Ooh)
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Bitch, I'm Madonna
Bitch, bitch, I'm Madonna
Bitch, I'm Madonna
Bitch, I'm Madonna
Bitch, I'm Madonna
Bitch, I'm Madonna
Bitch, I'm Madonna
Bitch, I'm Madonna
Bitch, I'm Madonna

[Bridge: Madonna]
Who do you think you are?
You can't mess with this lucky star
Oh-oh-oh-oh
Who do you think you are?

[Verse 3: Nicki Minaj]
Uh, poured up with my nose up and that rose up in that thinga
I'm froze up with my stove up 'cause he eating like it's his dinner
I run shit, I don't fall back 'cause I'm on track, I'm a sprinter
I'm bossed up, I got 'em awestruck, it's not a toss-up, I'm the winner
Beep-beep, bitch move, 'fore I bang-bang with that Uzi
That's Miu Miu on my shoes, ain't got a thing left for me to prove (Uh)
It's that bottle service all night, it's that pop and urban just right
It's that ""go hard or go home"" zone, bitch
I'm Madonna, these hoes know
[Chorus: Madonna & Nicki Minaj]
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Na-na-na-na-na (Ooh)
We go hard or we go home
We gon' do this all night long
We get freaky if you want
Bitch, I'm Madonna

[Post-Chorus: Madonna]
We do it like this
You're gonna love this
You can't touch this
'Cause I'm a bad bitch
Who do you think you are? ('Cause I'm a bad bitch)
Who do you think you are? ('Cause I'm a bad bitch)
Who do you think you are? ('Cause I'm a bad bitch)
Who do you think you are?

[Outro: Nicki Minaj]
Go-hard-or-go-home zone, bitch
I'm Madonna, these hoes know
Go-hard-or-go-home zone, bitch
I'm Madonna, these hoes know61Embed"
6,Hung Up,"Hung Up Lyrics[Intro]
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly

[Chorus]
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you

[Verse 1]
Time goes by so slowly for those who wait
No time to hesitate
Those who run seem to have all the fun
I'm caught up, I don't know what to do
[Pre-Chorus]
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
I don't know what to do

[Chorus]
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you

[Verse 2]
Ring, ring, ring goes the telephone
The lights are on, but there's no one home
Tick tick tock, it's a quarter to two
And I'm done, I'm hanging up on you

[Bridge]
I can't keep on waiting for you
I know that you're still hesitating
Don't cry for me, 'cause I'll find my way
You'll wake up one day, but it'll be too late
[Chorus]
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you

[Post-Chorus]
Every little thing, every little thing
I'm hung up, I'm hung up on you
Waiting for your call, waiting for your call
I'm fed up, I'm tired waiting on you

[Breakdown]
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
Time goes by so slowly
So slowly, so slowly, so slowly
So slowly, so slowly, so slowly
So slowly, so slowly, so slowly
So slowly, so slowly, so slowly, so slowly, so
I don't know what to do
[Chorus]
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you
Every little thing that you say or do
I'm hung up, I'm hung up on you
Waiting for your call, baby, night and day
I'm fed up, I'm tired of waiting on you

[Post-Chorus]
Every little thing, every little thing
I'm hung up, I'm hung up on you
Waiting for your call, waiting for your call
I'm fed up, I'm tired waiting on you16Embed"
7,Papa Don’t Preach,"Papa Don’t Preach Lyrics[Verse 1]
Papa, I know you're going to be upset
'Cause I was always your little girl
But you should know by now
I'm not a baby
You always taught me right from wrong
I need your help, daddy, please be strong
I may be young at heart
But I know what I'm saying

[Pre-Chorus]
The one you warned me all about
The one you said I could do without
We're in an awful mess
And I don't mean maybe, please
[Chorus]
Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
But I made up my mind, I'm
Keeping my baby, ooh
I'm gonna keep my baby, mm

[Verse 2]
He says that he's going to marry me
And we can raise a little family
Maybe we'll be all right
It's a sacrifice

[Pre-Chorus]
But my friends keep telling me to give it up
Saying I'm too young, I ought to live it up
What I need right now
Is some good advice, please

[Chorus]
Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
But I made up my mind, I'm
Keeping my baby, ooh
I'm gonna keep my baby, ooh, ooh
[Bridge]
Daddy, daddy if you could only see
Just how good he's been treating me
You'd give us your blessing right now
'Cause we are in love
We are in love (In love), so, please (So)

[Chorus]
Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
But I made up my mind, I'm
Keeping my baby, ooh
I'm gonna keep my baby, ooh, ooh

[Outro]
Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
Papa, don't preach, I'm in trouble, deep
Papa, don't preach, I've been losing sleep
Papa, don't preach (Oh, I'm gonna keep my baby)
Papa, don't preach (Ooh)
Papa, don't preach (Don't you stop loving me, daddy)
Papa, don't preach (I know I'm keeping my baby)12Embed"
8,Frozen,"Frozen Lyrics[Verse 1]
You only see what your eyes want to see
How can life be what you want it to be?
You're frozen when your heart's not open
You're so consumed with how much you get
You waste your time with hate and regret
You're broken when your heart's not open

[Chorus]
Mmmmmm, if I could melt your heart
Mmmmmm, we'd never be apart
Mmmmmm, give yourself to me
Mmmmmm, you hold the key

[Verse 2]
Now there's no point in placing the blame
And you should know I suffer the same
If I lose you, my heart will be broken
Love is a bird, she needs to fly
Let all the hurt inside of you die
You're frozen when your heart's not open
[Chorus]
Mmmmmm, if I could melt your heart
Mmmmmm, we'd never be apart
Mmmmmm, give yourself to me
Mmmmmm, you hold the key

[Verse 3]
You only see what your eyes want to see
How can life be what you want it to be?
You're frozen when your heart's not open

[Chorus]
Mmmmmm, if I could melt your heart
Mmmmmm, we'd never be apart
Mmmmmm, give yourself to me
Mmmmmm, you hold the key
If I could melt your heart
Mmmmmm, we'd never be apart
Mmmmmm, give yourself to me
Mmmmmm, you hold the key

[Outro]
If I could melt your heart11Embed"
9,4 Minutes,"4 Minutes Lyrics[Intro: Timbaland]
I'm outta time, and all I got is four minutes
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, four minutes, aye
I'm outta time, and all I got is four minutes (Four, four)
Fikki fikki, ow, ow, c'mon
Ah. yeah, ha, breakdown, c'mon
[Interlude: Justin Timberlake]
Hey, uh, c'mon, Madonna

[Verse 1: Madonna, Justin Timberlake, Timbaland]
C'mon, boy
I've been waiting for somebody to pick up my stroll, ah
Ah, well, don't waste time
Give me a sign, tell me how you wanna roll, mmm
I want somebody to speed it up for me, then take it down slow
There's enough room for both
Well, I can handle that, you just gotta show me where it's at
Are you ready to go? Are you ready to go?
(Fikki fikki, fikki fikki, come on)

[Pre-Chorus: Madonna & Justin Timberlake]
If you want it, you already got it
If you thought it, it better be what you want
If you feel it, it must be real just
Say the word, and I'mma give you what you want

[Chorus: Madonna, Justin Timberlake]
Time is waiting
We only got four minutes to save the world
No hesitating
Grab a boy, then grab a girl
Time is waiting
We only got four minutes to save the world
No hesitating
We only got four minutes, heh, a-four minutes
[Post-Chorus: Justin Timberlake, Madonna, Both]
So keep it up, keep it up
Don't be a pri-hey-Madonna, uh
You gotta get 'em on, hop
(Tick tock, tick tock, tick tock)
That's right, keep it up, keep it up
Don't be a pri-hey-Madonna, uh
You gotta get 'em on, hop
(Tick tock, tick tock, tick tock)

[Verse 2: Madonna, Justin Timberlake]
Sometimes I think what I need is a ""you"" intervention, yeah
And you know I can tell that you like it
And that it's good, by the way that you move, oh, hey
The road to hell is paved with good intentions, yeah
But if I die tonight, at least I can say I did what I wanted to do
Tell me, how 'bout you?

[Pre-Chorus: Madonna & Justin Timberlake, (Timbaland)]
If you want it, you already got it
If you thought it, it better be what you want (Come on)
If you feel it, it must be real just
Say the word, and I'mma give you what you want

[Chorus: Madonna, Justin Timberlake]
The time is waiting
We only got four minutes to save the world
No hesitating
Grab a boy, then grab a girl
Time is waiting
We only got four minutes to save the world
No hesitating
We only got four minutes, heh, a-four minutes
[Post-Chorus: Justin Timberlake, Madonna, Both]
So keep it up, keep it up
Don't be a pri-hey-Madonna, uh
You gotta get 'em on, hop
(Tick tock, tick tock, tick tock)
That's right, keep it up, keep it up
Don't be a pri-hey-Madonna, uh
You gotta get 'em on, hop
(Tick tock, tick tock, tick tock)

[Outro: Timbaland, Madonna]
Breakdown, yeah
(Tick tock, tick tock, tick tock)
Yeah, uh
(Tick tock, tick tock, tick tock)
I only got four minutes, to save the world12Embed"
